filename	xmlid	au-name	title	au-birth	au-death	au-ids	digitalSource	firsted-yr	title-ids	language	numwords	subgenre	narr-per	au-gender	sizeCat	reprintCount	time-slot
FRA40457	FRA40457	Sand, George		NA	NA	viaf:46766944	NA	1857	NA	fra	29860	NA	NA	U	short	unspecified	T1
FRA40607	FRA40607	Féval, Paul		NA	NA	viaf:17222447	NA	1857	NA	fra	95246	NA	NA	U	medium	unspecified	T1
FRA40633	FRA40633	Féval, Paul	Le Bossu    	NA	NA	NA	NA	1857	NA	fra	213986	NA	NA	U	long	unspecified	T1
FRA40731	FRA40731	Dumas, Alexandre	Le meneur de loups    	NA	NA	viaf:51688902	NA	1857	NA	fra	80297	NA	NA	U	medium	unspecified	T1
FRA40302	FRA40302	Aimard, Gustave		NA	NA	viaf:9841962	NA	1858	NA	fra	84338	NA	NA	U	medium	unspecified	T1
FRA40309	FRA40309	Aimard, Gustave 	Le grand Chef des Aucas    	NA	NA	NA	NA	1858	NA	fra	189496	NA	NA	U	long	unspecified	T1
FRA40312	FRA40312	Aimard, Gustave		NA	NA	viaf:9841962	NA	1858	NA	fra	89310	NA	NA	U	medium	unspecified	T1
FRA40314	FRA40314	Aimard, Gustave		NA	NA	viaf:9841962	NA	1858	NA	fra	105642	NA	NA	U	long	unspecified	T1
FRA40364	FRA40364	Gautier, Théophile		NA	NA	viaf:96428598	NA	1858	NA	fra	40572	NA	NA	U	short	unspecified	T1
FRA41161	FRA41161	du Terrail, Ponson	Le club des valets de coeur (Rocambole), tome 1    	NA	NA	viaf:17228199	NA	1858	NA	fra	142638	NA	NA	U	long	unspecified	T1
FRA41162	FRA41162	du Terrail, Ponson	Le club des valets de coeur (Rocambole), tome 2    	NA	NA	viaf:17228199	NA	1858	NA	fra	140503	NA	NA	U	long	unspecified	T1
FRA40313	FRA40313	Aimard, Gustave		NA	NA	viaf:9841962	NA	1859	NA	fra	108859	NA	NA	U	long	unspecified	T1
FRA40456	FRA40456	Sand, George		NA	NA	viaf:46766944	NA	1859	NA	fra	62219	NA	NA	U	medium	unspecified	T1
FRA40618	FRA40618	Féval, Paul		NA	NA	NA	NA	1859	NA	fra	141663	NA	NA	U	long	unspecified	T1
FRA40624	FRA40624	Féval, Paul		NA	NA	viaf:17222447	NA	1859	NA	fra	129439	NA	NA	U	long	unspecified	T1
FRA41169	FRA41169	du Terrail, Ponson	Les exploits de Rocambole, tome 1: La fille d'Espagne    	NA	NA	NA	NA	1859	NA	fra	190726	NA	NA	U	long	unspecified	T1
FRA41170	FRA41170	du Terrail, Ponson	Les exploits de Rocambole, tome 2: La mort du sauvage    	NA	NA	viaf:17228199	NA	1859	NA	fra	100460	NA	NA	U	long	unspecified	T1
FRA41171	FRA41171	du Terrail, Ponson	Les exploits de Rocambole, tome 3: La Revance de Baccarat    	NA	NA	viaf:17228199	NA	1859	NA	fra	80480	NA	NA	U	medium	unspecified	T1
FRA40009	FRA40009	Féval, Paul H.C.	Le chevalier Ténèbre    	NA	NA	viaf:17222447	NA	1860	NA	fra	36717	NA	NA	U	short	unspecified	T2
FRA41160	FRA41160	du Terrail, Ponson	Les chevaliers du clair de lune    	NA	NA	viaf:17228199	NA	1860	NA	fra	138864	NA	NA	U	long	unspecified	T2
FRA40109	FRA40109	Gaboriau, Émile	Les Cotillons célèbres, 1    	NA	NA	viaf:100177491	NA	1861	NA	fra	70004	NA	NA	U	medium	unspecified	T2
FRA40110	FRA40110	Gaboriau, Émile	Les cotillons célèbres, 2    	NA	NA	viaf:100177491	NA	1861	NA	fra	79075	NA	NA	U	medium	unspecified	T2
FRA40307	FRA40307	Aimard, Gustave		NA	NA	viaf:9841962	NA	1861	NA	fra	82543	NA	NA	U	medium	unspecified	T2
FRA40606	FRA40606	Féval, Paul		NA	NA	viaf:17222447	NA	1861	NA	fra	36145	NA	NA	U	short	unspecified	T2
FRA40036	FRA40036	Erckmann, Émile	L'invasion ou le fou Yégof    	NA	NA	viaf:31995972	NA	1862	NA	fra	71190	NA	NA	U	medium	unspecified	T2
FRA40042	FRA40042	Flaubert, Gustave	Sallambô    	NA	NA	viaf:9846192	NA	1862	NA	fra	103529	NA	NA	U	long	unspecified	T2
FRA40629	FRA40629	Féval, Paul	Jean Diable, 2: Le procès criminel    	NA	NA	viaf:17222447	NA	1862	NA	fra	117081	NA	NA	U	long	unspecified	T2
FRA40634	FRA40634	Féval, Paul H.C.	Jean Diable    	NA	NA	viaf:17222447	NA	1862	NA	fra	263210	NA	NA	U	long	unspecified	T2
FRA40641	FRA40641	Hugo, Victor		NA	NA	viaf:9847974	NA	1862	NA	fra	117563	NA	NA	U	long	unspecified	T2
FRA40642	FRA40642	Hugo, Victor		NA	NA	viaf:9847974	NA	1862	NA	fra	100805	NA	NA	U	long	unspecified	T2
FRA40643	FRA40643	Hugo, Victor		NA	NA	viaf:9847974	NA	1862	NA	fra	90218	NA	NA	U	medium	unspecified	T2
FRA40644	FRA40644	Hugo, Victor		NA	NA	viaf:9847974	NA	1862	NA	fra	125747	NA	NA	U	long	unspecified	T2
FRA40645	FRA40645	Hugo, Victor		NA	NA	viaf:9847974	NA	1862	NA	fra	107880	NA	NA	U	long	unspecified	T2
FRA40722	FRA40722	l'Isle Adam, Auguste Villiers de	Isis    	NA	NA	viaf:88998504	NA	1862	NA	fra	37446	NA	NA	U	short	unspecified	T2
FRA40730	FRA40730	About, Edmond	L'homme à l'oreille cassée    	NA	NA	viaf:34452092	NA	1862	NA	fra	56083	NA	NA	U	medium	unspecified	T2
