corpus-id	filename	xmlid	author-name	title	author-birth	author-death	author-gender	author-ids	reference-year	first-edition	digital-edition	print-edition	provenance	title-ids	language	numwords	subgenre	narrative-perspective	size-category	reprint-count	time-slot
ELTeC-fra-ext1	FRA40136	FRA40136	NA	Les mystères du peuple. Histoire d'une famille de prolétaires à travers les âges, tome 8	NA	NA	U	viaf:66473859	1853	1853	2011	source	NA	NA	fra	112138	NA	NA	long	unspecified	T1
ELTeC-fra-ext1	FRA40738	FRA40738	NA	Aurélia	NA	NA	U	viaf:24596532	1854	1854	NA	1985	NA	NA	fra	30852	NA	NA	short	unspecified	T1
ELTeC-fra-ext1	FRA40139	FRA40139	NA	Les mystères du peuple. Histoire d'une famille de prolétaires à travers les âges, tome 11	NA	NA	U	viaf:66473859	1854	1854	2011	source	NA	NA	fra	123004	NA	NA	long	unspecified	T1
ELTeC-fra-ext1	FRA40138	FRA40138	NA	Les mystères du peuple. Histoire d'une famille de prolétaires à travers les âges, tome 10	NA	NA	U	viaf:66473859	1854	1854	2011	source	NA	NA	fra	111857	NA	NA	long	unspecified	T1
ELTeC-fra-ext1	FRA40636	FRA40636	NA		NA	NA	U	viaf:17222447	1855	1855	NA	NA	NA	NA	fra	50006	NA	NA	medium	unspecified	T1
ELTeC-fra-ext1	FRA40140	FRA40140	NA	Les mystères du peuple. Histoire d'une famille de prolétaires à travers les âges, tome 12	NA	NA	U	viaf:66473859	1855	1855	2011	source	NA	NA	fra	107922	NA	NA	long	unspecified	T1
ELTeC-fra-ext1	FRA40617	FRA40617	NA		NA	NA	U	NA	1856	1856	NA	NA	NA	NA	fra	325297	NA	NA	long	unspecified	T1
ELTeC-fra-ext1	FRA40742	FRA40742	NA	Avatar	NA	NA	U	viaf:96428598	1856	1856	NA	1857	NA	NA	fra	32933	NA	NA	short	unspecified	T1
ELTeC-fra-ext1	FRA40616	FRA40616	NA	La Louve, tome 2: Valentine de Rohan	NA	NA	U	viaf:17222447	1856	1856	NA	NA	NA	NA	fra	61584	NA	NA	medium	unspecified	T1
ELTeC-fra-ext1	FRA40141	FRA40141	NA	Les mystères du peuple. Histoire d'une famille de prolétaires à travers les âges, tome 13	NA	NA	U	viaf:66473859	1856	1856	2011	source	NA	NA	fra	107696	NA	NA	long	unspecified	T1
ELTeC-fra-ext1	FRA40003	FRA40003	NA	Le roman de la momie	NA	NA	U	viaf:96428598	1857	1857	NA	NA	NA	NA	fra	55874	NA	NA	medium	unspecified	T1
ELTeC-fra-ext1	FRA40607	FRA40607	NA		NA	NA	U	viaf:17222447	1857	1857	NA	NA	NA	NA	fra	95246	NA	NA	medium	unspecified	T1
ELTeC-fra-ext1	FRA40731	FRA40731	NA	Le meneur de loups	NA	NA	U	viaf:51688902	1857	1857	2004	NA	NA	NA	fra	80297	NA	NA	medium	unspecified	T1
ELTeC-fra-ext1	FRA40633	FRA40633	NA	Le Bossu	NA	NA	U	NA	1857	1857	NA	NA	NA	NA	fra	213986	NA	NA	long	unspecified	T1
ELTeC-fra-ext1	FRA40457	FRA40457	NA		NA	NA	U	viaf:46766944	1857	1857	NA	1875	NA	NA	fra	29860	NA	NA	short	unspecified	T1
ELTeC-fra-ext1	FRA01702_GautierT	FRA01702	Gautier, Théophile	Le roman de la momie	1800	1872	M	viaf:96428598	1857	1857	2005	1899	Wikisource	NA	fr	59638	NA	heterodiegetic	medium	high	T1
ELTeC-fra-ext1	FRA40142	FRA40142	NA	Les mystères du peuple. Histoire d'une famille de prolétaires à travers les âges, tome 15	NA	NA	U	viaf:66473859	1857	1857	2012	source	NA	NA	fra	119567	NA	NA	long	unspecified	T1
ELTeC-fra-ext1	FRA40040	FRA40040	NA	Madame Bovary	NA	NA	U	viaf:9846192	1857	1857	2012	source	NA	NA	fra	116535	NA	NA	long	unspecified	T1
ELTeC-fra-ext1	FRA40143	FRA40143	NA	Les mystères du peuple. Histoire d'une famille de prolétaires à travers les âges, tome 16	NA	NA	U	viaf:author	1857	1857	2012	source	NA	NA	fra	165100	NA	NA	long	unspecified	T1
ELTeC-fra-ext1	FRA40314	FRA40314	NA		NA	NA	U	viaf:9841962	1858	1858	NA	NA	NA	NA	fra	105642	NA	NA	long	unspecified	T1
ELTeC-fra-ext1	FRA40312	FRA40312	NA		NA	NA	U	viaf:9841962	1858	1858	NA	NA	NA	NA	fra	89310	NA	NA	medium	unspecified	T1
ELTeC-fra-ext1	FRA40302	FRA40302	NA		NA	NA	U	viaf:9841962	1858	1858	NA	NA	NA	NA	fra	84338	NA	NA	medium	unspecified	T1
ELTeC-fra-ext1	FRA40364	FRA40364	NA		NA	NA	U	viaf:96428598	1858	1858	NA	NA	NA	NA	fra	40572	NA	NA	short	unspecified	T1
ELTeC-fra-ext1	FRA40309	FRA40309	NA	Le grand Chef des Aucas	NA	NA	U	NA	1858	1858	NA	NA	NA	NA	fra	189496	NA	NA	long	unspecified	T1
ELTeC-fra-ext1	FRA41161	FRA41161	NA	Le club des valets de coeur (Rocambole), tome 1	NA	NA	U	viaf:17228199	1858	1858	2009	NA	NA	NA	fra	142638	NA	NA	long	unspecified	T1
ELTeC-fra-ext1	FRA41162	FRA41162	NA	Le club des valets de coeur (Rocambole), tome 2	NA	NA	U	viaf:17228199	1858	1858	2009	NA	NA	NA	fra	140503	NA	NA	long	unspecified	T1
ELTeC-fra-ext1	FRA41170	FRA41170	NA	Les exploits de Rocambole, tome 2: La mort du sauvage	NA	NA	U	viaf:17228199	1859	1859	2009	NA	NA	NA	fra	100460	NA	NA	long	unspecified	T1
ELTeC-fra-ext1	FRA41171	FRA41171	NA	Les exploits de Rocambole, tome 3: La Revance de Baccarat	NA	NA	U	viaf:17228199	1859	1859	NA	NA	NA	NA	fra	80480	NA	NA	medium	unspecified	T1
ELTeC-fra-ext1	FRA41169	FRA41169	NA	Les exploits de Rocambole, tome 1: La fille d'Espagne	NA	NA	U	NA	1859	1859	NA	NA	NA	NA	fra	190726	NA	NA	long	unspecified	T1
ELTeC-fra-ext1	FRA40624	FRA40624	NA		NA	NA	U	viaf:17222447	1859	1859	NA	NA	NA	NA	fra	129439	NA	NA	long	unspecified	T1
ELTeC-fra-ext1	FRA40618	FRA40618	NA		NA	NA	U	NA	1859	1859	NA	NA	NA	NA	fra	141663	NA	NA	long	unspecified	T1
