filename	xmlid	au-name	title	au-birth	au-death	au-ids	digitalSource	firsted-yr	title-ids	language	numwords	subgenre	narr-per	au-gender	sizeCat	reprintCount	time-slot
FRA40178	FRA40178	NA	Vingt Mille lieues sous les mers	NA	NA	viaf:76323989	NA	1871	NA	fra	143608	NA	NA	U	long	unspecified	T2
FRA40455	FRA40455	NA		NA	NA	viaf:46766944	NA	1871	NA	fra	38791	NA	NA	U	short	unspecified	T2
FRA41023	FRA41023	NA	La clique dorée (partie 1)	NA	NA	viaf:100177491	NA	1871	NA	fra	78545	NA	NA	U	medium	unspecified	T2
FRA41024	FRA41024	NA	La clique dorée (partie 2)	NA	NA	viaf:100177491	NA	1871	NA	fra	86493	NA	NA	U	medium	unspecified	T2
FRA40023	FRA40023	NA	Les aventures prodigieuses de Tartarin de Tarascon	NA	NA	viaf:4928621	NA	1872	NA	fra	28045	NA	NA	U	short	unspecified	T2
FRA40485	FRA40485	NA		NA	NA	viaf:79158042	NA	1872	NA	fra	45557	NA	NA	U	short	unspecified	T2
FRA40372	FRA40372	NA		NA	NA	viaf:31987653	NA	1872	NA	fra	43256	NA	NA	U	short	unspecified	T2
FRA40445	FRA40445	NA		NA	NA	viaf:46766944	NA	1872	NA	fra	94058	NA	NA	U	medium	unspecified	T2
FRA41027	FRA41027	NA	La dégringolade, tome 3	NA	NA	viaf:100177491	NA	1872	NA	fra	81786	NA	NA	U	medium	unspecified	T2
FRA41026	FRA41026	NA	La dégringolade, tome 2	NA	NA	viaf:100177491	NA	1872	NA	fra	103994	NA	NA	U	long	unspecified	T2
FRA40479	FRA40479	NA		NA	NA	viaf:79158042	NA	1872	NA	fra	45825	NA	NA	U	short	unspecified	T2
FRA40083	FRA40083	NA	Aventures de trois russes et de trois anglais dans l'Afrique australe	NA	NA	viaf:76323989	NA	1872	NA	fra	67646	NA	NA	U	medium	unspecified	T2
FRA40635	FRA40635	NA	Les Compagnons du trésor	NA	NA	NA	NA	1872	NA	fra	164508	NA	NA	U	long	unspecified	T2
FRA41025	FRA41025	NA	La dégringolade, tome 1	NA	NA	viaf:100177491	NA	1872	NA	fra	94752	NA	NA	U	medium	unspecified	T2
FRA40092	FRA40092	NA	La curée	NA	NA	viaf:32004502	NA	1872	NA	fra	108030	NA	NA	U	long	unspecified	T2
FRA40029	FRA40029	NA	Les deux frères (Les Rantzau)	NA	NA	viaf:31995972	NA	1873	NA	fra	64876	NA	NA	U	medium	unspecified	T2
FRA40174	FRA40174	NA	Le Pays des fourrures	NA	NA	viaf:76323989	NA	1873	NA	fra	135914	NA	NA	U	long	unspecified	T2
FRA40375	FRA40375	NA		NA	NA	viaf:31987653	NA	1873	NA	fra	42899	NA	NA	U	short	unspecified	T2
FRA40061	FRA40061	NA	Le Ventre de Paris	NA	NA	viaf:32004502	NA	1873	NA	fra	113519	NA	NA	U	long	unspecified	T2
FRA40027	FRA40027	NA	Une campagne en Kabylie	NA	NA	viaf:31995972	NA	1873	NA	fra	22776	NA	NA	U	short	unspecified	T2
FRA41152	FRA41152	NA	La corde au cou, 2	NA	NA	viaf:100177491	NA	1873	NA	fra	89314	NA	NA	U	medium	unspecified	T2
FRA41151	FRA41151	NA	La corde au cou	NA	NA	viaf:100177491	NA	1873	NA	fra	159745	NA	NA	U	long	unspecified	T2
FRA40416	FRA40416	NA		NA	NA	viaf:49228546	NA	1873	NA	fra	45366	NA	NA	U	short	unspecified	T2
FRA40484	FRA40484	NA		NA	NA	viaf:79158042	NA	1874	NA	fra	51701	NA	NA	U	medium	unspecified	T2
